ID	Baso	Bmem	Bnv	CD4Tmem	CD4Tnv	CD8Tmem	CD8Tnv	Eos	Mono	NK	Neu	Treg
cg18578898	0.9059401	0.94909426	0.94281449	0.9150861	0.5921088	0.93497232	0.84006243	0.92286781	0.92032666	0.93635145	0.86469596	0.86898843
cg19311567	0.97790747	0.97361752	0.97743799	0.955012	0.69647328	0.95233564	0.94668891	0.96931337	0.96316872	0.94114289	0.95612601	0.98174587
cg16375820	0.92518063	0.95867364	0.93852989	0.6146547	0.18525459	0.96547981	0.49915513	0.93194571	0.91707043	0.92877014	0.94134876	0.65178202
cg08662013	0.96420488	0.92500949	0.97716165	0.7367493	0.42292015	0.84598508	0.91136176	0.95312363	0.96938717	0.9319174	0.94789928	0.77893315
cg11523325	0.94489309	0.93840602	0.95916528	0.9668296	0.58518021	0.97647659	0.83291588	0.96792292	0.96064112	0.9601315	0.94616692	0.96405651
cg21092682	0.90541575	0.92726288	0.92121922	0.643632	0.37549865	0.84327824	0.89446693	0.83745981	0.92016117	0.90416647	0.90765981	0.72785456
cg23990235	0.94584423	0.9625686	0.94789047	0.9289575	0.64872451	0.94566902	0.8761815	0.94245735	0.95965882	0.94092716	0.93556798	0.92522916
cg24160371	0.97071644	0.98042852	0.97662412	0.8224414	0.47913074	0.9353058	0.94709803	0.97590637	0.96685865	0.95666713	0.96177111	0.9581995
cg01778017	0.97820499	0.97960458	0.97841623	0.9284941	0.2101413	0.93299447	0.54112134	0.98300417	0.96698203	0.94075729	0.96889134	0.9669689
cg05931551	0.95704068	0.85872402	0.9616364	0.6212285	0.29860455	0.80243591	0.7727944	0.94722647	0.94638634	0.94967871	0.94408883	0.6784291
cg03888645	0.93189776	0.96871139	0.96682131	0.9651396	0.70140603	0.96524612	0.95006712	0.986859	0.96934205	0.96690188	0.96762173	0.96344221
cg21664107	0.45488445	0.77370345	0.762899	0.5380831	0.07662612	0.65206043	0.34294616	0.59766273	0.67639689	0.7257302	0.64053002	0.54249612
cg06338239	0.92783958	0.94900718	0.95279171	0.7204484	0.3736829	0.92696383	0.60145721	0.95321565	0.91831272	0.94122597	0.93228499	0.86073066
cg01999608	0.69652781	0.96113675	0.95834231	0.6783709	0.44397553	0.92128082	0.78626476	0.93900209	0.95166859	0.95223788	0.9335917	0.81450379
cg08483099	0.86398119	0.87383456	0.94419393	0.3073017	0.03103603	0.48961928	0.25125083	0.88579614	0.93097038	0.93229741	0.91023335	0.37659441
cg23705316	0.70183031	0.95738361	0.95530386	0.5847401	0.34535904	0.94274482	0.79291089	0.9099515	0.95084665	0.95623638	0.95189867	0.74904527
cg11037382	0.9134036	0.8821907	0.94025957	0.7707464	0.40327059	0.86319328	0.61658711	0.87154625	0.91416464	0.89537367	0.90050786	0.71119668
cg11840035	0.95351235	0.95119433	0.94509102	0.884532	0.41707239	0.89364306	0.67430119	0.95935269	0.9562607	0.92451992	0.95382026	0.90242003
cg21747310	0.81331139	0.94816276	0.91082473	0.2556811	0.04313657	0.41365809	0.28304335	0.90276452	0.89552526	0.77371576	0.84534292	0.28792577
cg20290061	0.77638774	0.93328245	0.88047378	0.7100443	0.36905715	0.91331556	0.65900407	0.83588647	0.85371586	0.82994366	0.85399517	0.80478022
cg07728865	0.9433421	0.89218724	0.96879351	0.3253046	0.06529627	0.76315502	0.25505281	0.93800893	0.95073863	0.81780504	0.91666893	0.43271786
cg19084822	0.83896862	0.79230192	0.89449313	0.6824943	0.19372972	0.74939946	0.38462049	0.67248693	0.87481728	0.75791443	0.77204702	0.66158417
cg03340102	0.41929652	0.46165551	0.4073004	0.3271922	0.09221134	0.37591045	0.33547776	0.36903694	0.42662692	0.46790026	0.40265454	0.26740487
cg03370360	0.11502624	0.97290995	0.97220144	0.9764714	0.98090719	0.98352527	0.97293481	0.98253223	0.96275347	0.95979407	0.96695781	0.98423085
cg04763150	0.06055157	0.95885424	0.9706645	0.9482015	0.95561636	0.93925818	0.95345629	0.92558344	0.95098968	0.95617309	0.946724	0.9491752
cg11892665	0.05708819	0.98351091	0.98604036	0.9741977	0.97451284	0.98125283	0.97960971	0.95688324	0.97172439	0.96678504	0.97451296	0.95500614
cg21081729	0.04598591	0.94742077	0.96790814	0.9826936	0.98204163	0.96209906	0.98127077	0.89743324	0.9653703	0.9491761	0.95597239	0.96177611
cg24796422	0.04526286	0.97318424	0.9748192	0.9608125	0.95044977	0.95534501	0.96501683	0.92760666	0.95155662	0.93916017	0.94868858	0.957436
cg05847670	0.18799204	0.96675611	0.97552646	0.9796433	0.97342277	0.95777173	0.9676232	0.9322829	0.96307259	0.95584804	0.95533874	0.96787797
cg00597139	0.10969055	0.98329068	0.99512656	0.988227	0.99343281	0.98723637	0.99073479	0.96504926	0.97756297	0.97746064	0.98229233	0.9872306
cg12087639	0.05994007	0.98228965	0.98395558	0.9850106	0.975389	0.97534404	0.96907375	0.94036338	0.96961503	0.95705228	0.96830451	0.98214252
cg24791846	0.07804701	0.97519826	0.9741496	0.9769586	0.97336824	0.97291615	0.96651122	0.94732643	0.95478898	0.95978981	0.95132884	0.97384331
cg01453386	0.06765672	0.98927061	0.98369816	0.9852301	0.98643877	0.98833293	0.9901178	0.93019241	0.97255492	0.97717032	0.97622039	0.98096307
cg14924828	0.21796932	0.95859879	0.96812128	0.9560426	0.9584461	0.90945464	0.95899218	0.91876691	0.9579322	0.92277833	0.95905844	0.92152931
cg17890852	0.09674874	0.97642347	0.98675268	0.9706649	0.98600017	0.97047999	0.98424629	0.92157045	0.97916822	0.96803316	0.96123602	0.96546984
cg07896398	0.18986915	0.96876011	0.96984442	0.9367495	0.94762502	0.95223222	0.94529377	0.8722651	0.95124712	0.94485435	0.91355565	0.94368572
cg00351957	0.071875	0.97833698	0.98667807	0.9586144	0.9833227	0.95409354	0.98293834	0.91029391	0.97836972	0.96371021	0.96430373	0.95729526
cg25340205	0.04153231	0.97877021	0.96675114	0.9786461	0.97310521	0.98032719	0.98510216	0.89983022	0.97174529	0.97055529	0.96971035	0.98292933
cg02329886	0.06939207	0.96960209	0.97786089	0.9634844	0.94617682	0.95400694	0.96618669	0.93265779	0.95557272	0.95545473	0.94514775	0.95277739
cg21542081	0.15853272	0.97933659	0.98176381	0.9683713	0.97676919	0.97884592	0.97375528	0.96932377	0.96339783	0.971147	0.96792813	0.98118933
cg06658453	0.04801127	0.96224659	0.96343418	0.9564117	0.96370184	0.94191757	0.95487126	0.88169983	0.94929565	0.95170451	0.93909023	0.95188109
cg08765214	0.1467322	0.9840079	0.98196047	0.9691009	0.97474995	0.96099991	0.96887092	0.87534116	0.96219502	0.95255041	0.95540969	0.96221679
cg11294011	0.17884934	0.94694952	0.93244839	0.9316644	0.92337872	0.92260252	0.93072529	0.90801865	0.92579207	0.90852468	0.92542048	0.89612309
cg03227316	0.04913899	0.987692	0.98886654	0.9851126	0.98506817	0.98071175	0.98851041	0.94449439	0.97130301	0.97180588	0.97154963	0.98572704
cg23639055	0.072676	0.9565227	0.95723527	0.9457357	0.94499699	0.93564054	0.93905367	0.86735959	0.93730479	0.93749302	0.93101662	0.94520507
cg25422758	0.28116212	0.96170056	0.97595091	0.9575282	0.96507111	0.94805675	0.95852578	0.95873349	0.96253909	0.95413303	0.96689605	0.95235191
cg04500050	0.10879944	0.97787409	0.97010393	0.9835987	0.97207712	0.97527515	0.97751131	0.94917252	0.97767227	0.96439989	0.96823229	0.98619646
cg15116227	0.2273294	0.97890619	0.97781434	0.9731909	0.95962465	0.96773219	0.95933249	0.94047821	0.96520414	0.95974602	0.95618127	0.97663633
cg09629758	0.12308128	0.97344383	0.98254792	0.9674704	0.98513703	0.96044339	0.98201094	0.95205243	0.95385089	0.94318038	0.97376625	0.94158399
cg02863748	0.24320282	0.96626066	0.97083677	0.9569998	0.9577159	0.94663457	0.94798516	0.9437661	0.95237735	0.94476379	0.94391225	0.96832889
cg03759549	0.05089501	0.92607869	0.97397731	0.9568792	0.97617931	0.95112561	0.95618351	0.87641571	0.94106921	0.95104461	0.93587552	0.95875473
cg25269402	0.0956481	0.97766983	0.97104641	0.9653518	0.97687119	0.95687947	0.97509546	0.92176018	0.97115459	0.96255611	0.95953664	0.9752439
cg08446606	0.05410001	0.96834601	0.97653918	0.9657483	0.9555719	0.95961884	0.91180403	0.82199043	0.96357864	0.944453	0.95285625	0.96505459
cg19188904	0.12774946	0.97472916	0.97083837	0.9750943	0.9672849	0.97104466	0.96891163	0.89943335	0.94639385	0.96587639	0.93667105	0.9706712
cg09622285	0.19314998	0.95820652	0.97359478	0.9457916	0.96744575	0.94567138	0.96494292	0.92332729	0.95179573	0.94678688	0.96219174	0.94403397
cg26673070	0.0614515	0.96326046	0.98333876	0.9725894	0.97865159	0.97851617	0.98059247	0.84837325	0.97120696	0.96995529	0.96474103	0.97114808
cg04988216	0.1450601	0.98505861	0.98192474	0.9821209	0.98963374	0.97790421	0.9827071	0.96040509	0.9696017	0.96706402	0.97380551	0.9894868
cg21585800	0.14122348	0.9683604	0.9760295	0.9327879	0.97304975	0.90204334	0.97096026	0.92670192	0.95766733	0.94049706	0.93730573	0.95642107
cg09940675	0.06958445	0.84239717	0.94704608	0.9025347	0.8778885	0.88818336	0.89854252	0.89331665	0.93210407	0.83859669	0.9107488	0.86073567
cg14257017	0.08937324	0.96220053	0.96766105	0.9650906	0.9683891	0.95239975	0.96581459	0.90741186	0.96025985	0.95423031	0.95649112	0.9549748
cg15192986	0.10277124	0.96177134	0.96130581	0.9675435	0.95295217	0.95864169	0.95016671	0.90757752	0.94354356	0.94745117	0.94183902	0.96830003
cg14940779	0.22967064	0.98871344	0.98707771	0.9843666	0.9739094	0.98436052	0.97480914	0.93487254	0.9781551	0.9732225	0.97209632	0.98473957
cg17581877	0.09485505	0.96592956	0.96324029	0.9493399	0.94431999	0.96322177	0.95759772	0.81058011	0.92367998	0.93231497	0.91963714	0.95115198
cg11985063	0.16633325	0.98476821	0.97938736	0.9797908	0.98653768	0.9801843	0.98332569	0.93429023	0.97598084	0.97552884	0.9758962	0.98721761
cg05690666	0.07447894	0.97144193	0.97224003	0.9643641	0.97371819	0.95597575	0.96963777	0.966251	0.96698679	0.90042962	0.95723426	0.96298792
cg20412398	0.35290281	0.97654692	0.96368471	0.978513	0.97227521	0.97669988	0.98229412	0.97717256	0.97195717	0.96837955	0.96480716	0.98294665
cg19867897	0.13872998	0.91130244	0.92188714	0.8693239	0.91779633	0.88745844	0.93800083	0.84694437	0.91613503	0.88374824	0.91044954	0.90794092
cg23033014	0.19951704	0.97694451	0.96910851	0.9585199	0.95985162	0.95575761	0.9467887	0.96667044	0.97187883	0.96445098	0.96471964	0.90614347
cg03445419	0.22243843	0.97976703	0.95764516	0.9630911	0.97140628	0.97001641	0.9625925	0.94394221	0.97067554	0.95607238	0.96066972	0.91864649
cg17301153	0.24007542	0.93136355	0.96094554	0.9541298	0.96839741	0.96375653	0.96914379	0.96288309	0.95850995	0.95186286	0.95171052	0.953039
cg04293820	0.17794013	0.95959628	0.95971227	0.9607001	0.9410208	0.96324606	0.93986176	0.92174913	0.94940482	0.95178209	0.93471486	0.97200206
cg14030593	0.19246172	0.98365944	0.98679093	0.9825294	0.9747776	0.97918924	0.97790766	0.93953949	0.97663774	0.97338679	0.97458127	0.98171555
cg26676468	0.17876061	0.97395275	0.966433	0.976916	0.97378768	0.97873178	0.96682265	0.9412	0.96563211	0.94787877	0.95725509	0.98641355
cg03984633	0.95512741	0.94671449	0.97316163	0.5570564	0.95234496	0.86802862	0.93497735	0.97212608	0.96943477	0.94302538	0.95791665	0.89949757
cg25437005	0.91916025	0.86984749	0.90417898	0.3633144	0.7985162	0.69680212	0.84046163	0.88917858	0.89095981	0.84644153	0.88042445	0.79251927
cg19811231	0.96332249	0.8603628	0.97253801	0.3712472	0.83051774	0.72025605	0.9664319	0.93884715	0.92433225	0.94768717	0.90983393	0.8449095
cg26304744	0.94825971	0.98027904	0.96787962	0.6065791	0.93849622	0.91278739	0.94373893	0.96652255	0.95518554	0.96295224	0.94374096	0.90151154
cg27572854	0.91700996	0.9000396	0.90134014	0.3739021	0.80728293	0.68094871	0.88976593	0.90123672	0.89081645	0.89028725	0.88173275	0.80001347
cg22619531	0.97623543	0.96173208	0.96573135	0.4653728	0.90902634	0.77137649	0.94079519	0.97023303	0.9466739	0.9211788	0.96127104	0.83851571
cg09031281	0.96147276	0.95295874	0.96679375	0.5274095	0.93762104	0.92067102	0.96095025	0.98127963	0.98013962	0.96565632	0.96375095	0.78273514
cg00783080	0.95258825	0.93935755	0.92387796	0.574922	0.88522018	0.92119284	0.94857503	0.93841361	0.93689368	0.94937054	0.92064828	0.82166033
cg00949794	0.97220914	0.88964699	0.96536098	0.2479548	0.64378154	0.6004197	0.85075344	0.97161633	0.96810687	0.94225328	0.9666817	0.46619305
cg09766370	0.85138258	0.9637643	0.96704499	0.5161292	0.93541386	0.79593045	0.91584109	0.94112317	0.95401307	0.93667073	0.93953591	0.90847016
cg27359629	0.92576611	0.86884062	0.96066062	0.1392558	0.6898716	0.53476553	0.52406095	0.9292321	0.90062781	0.84723033	0.91061442	0.4075339
cg05401393	0.97773197	0.78000226	0.94676406	0.4677908	0.94315693	0.78776784	0.92073167	0.97183588	0.95974077	0.96211332	0.95889057	0.7608933
cg08012294	0.92476466	0.95740563	0.96514854	0.3739649	0.83478092	0.93116442	0.94981282	0.97556726	0.9241654	0.9565038	0.95114791	0.59842838
cg04062032	0.94775549	0.90451538	0.95911561	0.1404576	0.91528593	0.52174482	0.84396614	0.95536966	0.93774347	0.92376624	0.94455582	0.36479388
cg11887733	0.94147624	0.85347741	0.94514975	0.3502241	0.59077254	0.66218237	0.86506597	0.94918182	0.94131435	0.93314584	0.93861567	0.65685564
cg03252427	0.98215127	0.95902799	0.97941093	0.6361815	0.96546221	0.89791444	0.94721695	0.98170336	0.96338016	0.95322687	0.96172176	0.91206904
cg12497611	0.9642565	0.9621356	0.97879318	0.6626717	0.97573333	0.92121243	0.96973977	0.96843279	0.96269963	0.95007715	0.9568639	0.89032847
cg06527889	0.95949016	0.9721406	0.9753332	0.4980128	0.7477672	0.9465719	0.93406316	0.96783517	0.96532818	0.96888146	0.96098578	0.80446312
cg13641221	0.97091168	0.97919432	0.97856399	0.7057742	0.94710574	0.95800569	0.96263649	0.97018368	0.96302359	0.95522481	0.96473909	0.95226188
cg12733242	0.9170308	0.93652148	0.94425589	0.4362171	0.81321791	0.6727303	0.74324699	0.89800574	0.93286001	0.91928254	0.86725326	0.71911917
cg18409707	0.9098564	0.68461435	0.93442232	0.4082728	0.72980878	0.72466859	0.92993054	0.87905028	0.87844602	0.91307686	0.87899019	0.64571098
cg02038353	0.98191112	0.86419645	0.97002641	0.5240995	0.96745074	0.94434173	0.96979068	0.97096436	0.97095589	0.97730182	0.97445056	0.84715479
cg12047375	0.97565832	0.90738022	0.96077899	0.1631593	0.47952387	0.5509622	0.8852298	0.98599722	0.96059762	0.86603107	0.9727789	0.37965259
cg03565732	0.9501424	0.95028833	0.97887878	0.5325273	0.85335229	0.76252487	0.93324344	0.85452183	0.89783993	0.94420696	0.74620014	0.73884877
cg18001026	0.96548126	0.97903829	0.9852007	0.6767619	0.96837364	0.85246152	0.95370545	0.94983428	0.93210301	0.95558628	0.92625351	0.95943275
cg23777479	0.89017296	0.93070776	0.89131874	0.2653949	0.9121118	0.58129461	0.8933088	0.81852389	0.86007397	0.81187249	0.6296577	0.4470698
cg15149205	0.96729592	0.9582426	0.96892205	0.5806234	0.93794827	0.89265959	0.94159012	0.97121424	0.95283634	0.94461539	0.95493853	0.81812622
cg22936341	0.95008283	0.96933855	0.95896704	0.697642	0.93404628	0.95064506	0.95922854	0.94808072	0.95541093	0.96161236	0.94219633	0.85780897
cg07627628	0.96948548	0.96882257	0.96714493	0.2506646	0.60537413	0.50806227	0.6462944	0.96903472	0.96556779	0.93888015	0.94434373	0.43461571
cg04383721	0.97077768	0.97721799	0.96633631	0.6697014	0.85325156	0.89814107	0.96662736	0.97582541	0.95264212	0.96567524	0.96205206	0.90235932
cg05596912	0.94581821	0.94215839	0.93918017	0.581036	0.9315402	0.94524721	0.96325212	0.94456929	0.94629847	0.92635728	0.93554012	0.81936346
cg02501773	0.97972413	0.96488936	0.98045566	0.6856524	0.9364266	0.92547635	0.93784538	0.96761637	0.97014789	0.92719013	0.96393472	0.84041272
cg15569739	0.97500288	0.95274607	0.97571631	0.7619246	0.98223458	0.92201583	0.9616316	0.96817393	0.97513861	0.95756196	0.96642279	0.92413268
cg24379742	0.93018014	0.85835617	0.96018678	0.2976609	0.85236286	0.47342097	0.84967506	0.95249259	0.93860022	0.87207053	0.92796934	0.48608717
cg00944599	0.92757715	0.80081293	0.92071626	0.1806488	0.8013245	0.56289093	0.84093513	0.80883209	0.9093913	0.90935174	0.88546537	0.34437543
cg15001636	0.83784981	0.89873847	0.91616574	0.4355019	0.58588957	0.68907831	0.74916911	0.83641475	0.88753768	0.87729983	0.80866288	0.61271972
cg13680246	0.96044111	0.92099117	0.93560045	0.6055452	0.92747106	0.86976021	0.92220373	0.96576285	0.95397584	0.95226424	0.93936401	0.75804722
cg12761472	0.80468277	0.79287853	0.81491038	0.3951236	0.66471848	0.62766905	0.61004642	0.90220791	0.86089747	0.67588446	0.83757628	0.61430815
cg19436514	0.96414103	0.94690214	0.98539811	0.3510789	0.7753901	0.78058541	0.92145782	0.67989612	0.97595502	0.95548477	0.95335941	0.55872013
cg00843117	0.96365405	0.921289	0.97192122	0.6937964	0.93403312	0.8515236	0.94729257	0.9778585	0.97175333	0.96800308	0.96439274	0.87613344
cg17964575	0.9493834	0.82299166	0.94556849	0.3978595	0.91279713	0.73486253	0.8937086	0.92259676	0.89046255	0.93792693	0.87484006	0.80615646
cg26950756	0.98571415	0.85879319	0.98459628	0.5972197	0.97809596	0.74601093	0.96757973	0.98273412	0.97945784	0.96380101	0.97408408	0.78064241
cg27025274	0.96991863	0.94654035	0.96682979	0.6353814	0.94804859	0.90495736	0.96889596	0.90123047	0.94258178	0.95289897	0.95205524	0.83617946
cg16461337	0.85732601	0.76339859	0.94389751	0.5082403	0.88041696	0.76792873	0.90680919	0.92380041	0.87926419	0.90857847	0.83419204	0.68768355
cg13539891	0.9472412	0.93064429	0.96089674	0.6201974	0.90187195	0.79408978	0.90291626	0.95572487	0.94588404	0.94079865	0.95251312	0.85650707
cg23853980	0.6714987	0.95246572	0.81396238	0.3706624	0.80118025	0.55097264	0.83326115	0.73050978	0.73013077	0.73082662	0.76806618	0.52687142
cg07880190	0.91777502	0.93889541	0.95107018	0.5023398	0.94736257	0.89275461	0.95072796	0.94949327	0.92171151	0.94539839	0.92073953	0.66060976
cg26129027	0.77746482	0.82354353	0.71301283	0.4237788	0.62011832	0.7406416	0.71917233	0.73954842	0.69308892	0.88893267	0.67240857	0.83556122
cg15683542	0.94456196	0.74986657	0.92698888	0.2998643	0.88802818	0.5465607	0.90035454	0.93527412	0.90437589	0.8965736	0.92035962	0.54399443
cg10583651	0.91249066	0.90466471	0.93927048	0.2845341	0.74938516	0.53265021	0.86420292	0.91729783	0.91492537	0.90660522	0.91478412	0.65157723
cg05785919	0.97363913	0.12833297	0.9488927	0.9841418	0.98446487	0.96807421	0.9740093	0.96682586	0.95942387	0.96113577	0.96481042	0.96308121
cg22784669	0.97502046	0.09279326	0.9087665	0.9727362	0.97346164	0.969385	0.96969451	0.96714887	0.9623725	0.96531772	0.96266704	0.96643491
cg18811564	0.94904745	0.0580004	0.88601193	0.9228485	0.98015097	0.85741948	0.97426014	0.94121565	0.94234488	0.89170647	0.95077219	0.8765918
cg03370491	0.95991259	0.05474914	0.88152251	0.9185073	0.96965437	0.86989899	0.95981291	0.95862286	0.9469364	0.95109406	0.93764184	0.85475346
cg18395354	0.96008816	0.10688509	0.89688654	0.9642515	0.96615327	0.92393824	0.96797203	0.93529445	0.94739702	0.9415833	0.94109903	0.96779656
cg11963313	0.94430205	0.13206936	0.88689407	0.9296838	0.96495543	0.90742894	0.9559271	0.94061597	0.94306388	0.93522825	0.94937864	0.92321511
cg26960322	0.91648406	0.03120512	0.86491652	0.9130365	0.96708728	0.86141098	0.93547156	0.83877617	0.91654057	0.91160532	0.93429193	0.87256546
cg10287321	0.95424627	0.0616971	0.84606877	0.9404021	0.94480962	0.94105282	0.91551309	0.96501458	0.94302906	0.94696295	0.939366	0.84199066
cg27195778	0.96923429	0.07805323	0.92046363	0.9869332	0.97151887	0.97260162	0.968854	0.96409774	0.94901176	0.96394113	0.95620655	0.9780392
cg04987479	0.97897718	0.09727664	0.9283677	0.9799519	0.98572296	0.90797724	0.97199261	0.96068945	0.95665187	0.9370113	0.96185093	0.98801108
cg02198280	0.96435652	0.1136778	0.91578575	0.9619255	0.96063019	0.97306817	0.95573293	0.96121819	0.95913547	0.96767616	0.94755521	0.95990356
cg09488807	0.98473976	0.06385208	0.86102251	0.9641996	0.98228806	0.95407341	0.97250446	0.9846469	0.96040356	0.9650611	0.97427772	0.9835745
cg07084675	0.95244932	0.04615988	0.8720557	0.9172659	0.94402893	0.87521327	0.94613187	0.93852708	0.93869676	0.93846812	0.92423669	0.92160086
cg00601124	0.98525515	0.05487766	0.89093335	0.9527087	0.98038071	0.9352902	0.97950106	0.95565417	0.96344167	0.95569138	0.96300628	0.95817182
cg27168830	0.98285703	0.0162639	0.86944572	0.9355713	0.97708848	0.95961722	0.98031692	0.97884052	0.97590659	0.97270437	0.96993886	0.96520028
cg25788647	0.97311566	0.10758843	0.88487201	0.9496983	0.97126423	0.90614607	0.96825111	0.96342069	0.96709038	0.94988581	0.94908903	0.93824454
cg02011162	0.95620369	0.06148322	0.86577455	0.8575802	0.94604332	0.94712863	0.94289085	0.87626652	0.94287386	0.95827807	0.9327081	0.93318911
cg22206842	0.95238241	0.08813038	0.89419362	0.9458234	0.95655016	0.93817755	0.94436105	0.95147464	0.95236726	0.9480359	0.94461107	0.94786229
cg20913547	0.96702075	0.05143962	0.90808519	0.9328683	0.96705239	0.84076228	0.94817588	0.95846757	0.88711708	0.91905229	0.93908898	0.91689485
cg24800373	0.97268995	0.08471827	0.93051824	0.9530565	0.98451332	0.94945357	0.97948862	0.96713002	0.97126051	0.97277845	0.9701184	0.93464132
cg15870556	0.93178133	0.06633339	0.87572344	0.9067738	0.94293088	0.92621754	0.94181614	0.92590248	0.93536702	0.94198744	0.9436517	0.91363683
cg04923194	0.94708606	0.03138617	0.87342483	0.952428	0.98345755	0.93659887	0.97391273	0.93669736	0.94687361	0.9460517	0.92316843	0.9165832
cg14733637	0.93026431	0.08660818	0.86400672	0.9454984	0.92769403	0.89238827	0.90300534	0.90338062	0.89202541	0.89342811	0.89708107	0.88037218
cg17514643	0.96732594	0.02411345	0.83227756	0.9585554	0.97481407	0.92308514	0.9667149	0.97072807	0.96735256	0.95166868	0.97372213	0.92241515
cg03517570	0.98361251	0.0819793	0.86818484	0.9891463	0.98075377	0.98164684	0.97414609	0.98665002	0.97178574	0.97505115	0.96914581	0.98887255
cg07008893	0.9750532	0.13062367	0.9312438	0.9574238	0.97029471	0.96563119	0.96468944	0.96620969	0.96798872	0.96086853	0.96540447	0.95132265
cg14495399	0.93048287	0.11253356	0.85687359	0.8873608	0.93237422	0.85500031	0.923202	0.92035251	0.90162876	0.8941341	0.93029115	0.90403633
cg03578212	0.96310285	0.09628958	0.91723117	0.9556907	0.97316274	0.95894066	0.97461904	0.97117786	0.95071306	0.9418551	0.9436271	0.955327
